subject,predicate,object
Marcel_Duchamp,subject,Category:Works_by_Marcel_Duchamp
Marcel_Duchamp,subject,Category:French_conceptual_artists
Marcel_Duchamp,subject,Category:French_surrealist_artists
Marcel_Duchamp,subject,Category:French_male_painters
Marcel_Duchamp,subject,Category:French_male_sculptors
Marcel_Duchamp,subject,Category:French_emigrants_to_the_United_States
Marcel_Duchamp,subject,Category:Dadaists
Marcel_Duchamp,subject,Category:Pataphysicians
Marcel_Duchamp,subject,Category:Chess_Olympiad_competitors
Marcel_Duchamp,subject,Category:French_chess_players
Marcel_Duchamp,subject,Category:French_chess_writers
Marcel_Duchamp,subject,Category:French_experimental_filmmakers
Marcel_Duchamp,subject,Category:French_mixed-media_artists
Marcel_Duchamp,subject,Category:20th-century_French_male_writers
Marcel_Duchamp,subject,Category:20th-century_French_chess_players
Marcel_Duchamp,subject,Category:20th-century_French_male_artists
Marcel_Duchamp,subject,Category:Sibling_artists
Marcel_Duchamp,subject,Category:Oulipo_members
Marcel_Duchamp,subject,Category:People_from_Greenwich_Village
Marcel_Duchamp,subject,Category:French_cubist_artists
Marcel_Duchamp,subject,Category:Artists_from_Normandy
Marcel_Duchamp,subject,Category:French_modern_artists
Marcel_Duchamp,subject,"Category:Writers_from_Bergen_County,_New_Jersey"
Marcel_Duchamp,subject,Category:20th-century_French_non-fiction_writers
Marcel_Duchamp,subject,Category:Sportspeople_from_Seine-Maritime
Marcel_Duchamp,subject,Category:Académie_Julian_alumni
Marcel_Duchamp,subject,Category:French_parodists
Marcel_Duchamp,subject,Category:20th-century_French_sportsmen
Marcel_Duchamp,wikiPageWikiLink,Emmy_Hennings
Marcel_Duchamp,wikiPageWikiLink,Hugo_Ball
Marcel_Duchamp,wikiPageWikiLink,Max_Stirner
Marcel_Duchamp,wikiPageWikiLink,Richard_Huelsenbeck
Marcel_Duchamp,wikiPageWikiLink,The_Ego_and_Its_Own
Marcel_Duchamp,wikiPageWikiLink,Enneagram_(geometry)
Marcel_Duchamp,wikiPageWikiLink,Oulipo
Marcel_Duchamp,wikiPageWikiLink,VVV_(magazine)
Marcel_Duchamp,wikiPageWikiLink,Pun
Marcel_Duchamp,wikiPageWikiLink,Walter_Pach
Marcel_Duchamp,wikiPageWikiLink,Salon_des_Indépendants
Marcel_Duchamp,wikiPageWikiLink,Berlin
Marcel_Duchamp,wikiPageWikiLink,Buenos_Aires
Marcel_Duchamp,wikiPageWikiLink,Chess
Marcel_Duchamp,wikiPageWikiLink,Epitaph
Marcel_Duchamp,wikiPageWikiLink,Knight_(chess)
Marcel_Duchamp,wikiPageWikiLink,Leonardo_da_Vinci
Marcel_Duchamp,wikiPageWikiLink,Mind
Marcel_Duchamp,wikiPageWikiLink,World_War_I
Marcel_Duchamp,wikiPageWikiLink,Zurich
Marcel_Duchamp,wikiPageWikiLink,John_Cage
Marcel_Duchamp,wikiPageWikiLink,Lycée_Pierre-Corneille
Marcel_Duchamp,wikiPageWikiLink,Typography
Marcel_Duchamp,wikiPageWikiLink,Staatliches_Museum_Schwerin
Marcel_Duchamp,wikiPageWikiLink,Stefan_Banz
Marcel_Duchamp,wikiPageWikiLink,Catherine_Perret
Marcel_Duchamp,wikiPageWikiLink,Corresponding_squares
Marcel_Duchamp,wikiPageWikiLink,Visual_pun
Marcel_Duchamp,wikiPageWikiLink,Fourth_dimension_in_art
Marcel_Duchamp,wikiPageWikiLink,Proto-Cubism
Marcel_Duchamp,wikiPageWikiLink,Category:French_atheists
Marcel_Duchamp,wikiPageWikiLink,Category:Recycled_art_artists
Marcel_Duchamp,wikiPageWikiLink,Aesthetics
Marcel_Duchamp,wikiPageWikiLink,Blainville-Crevon
